/*
 hashOutputObj7.1.txt
 Seth Cram
 Completed 5/5/2020
 Hash table size = 8017
*/

Script started on Tue 05 May 2020 09:40:25 PM PDT
[?1034hbash-4.2$ ./a.out
File dict4 is open
File closed
File dict8 is open
File closed
10 words in bucket 651
12 words in bucket 652
7 words in bucket 653
8 words in bucket 654
8 words in bucket 655
8 words in bucket 656
6 words in bucket 657
7 words in bucket 658
11 words in bucket 659
10 words in bucket 660
4 words in bucket 661
7 words in bucket 662
15 words in bucket 663
3 words in bucket 664
6 words in bucket 665
9 words in bucket 666
7 words in bucket 667
8 words in bucket 668
8 words in bucket 669
4 words in bucket 670
4 words in bucket 671
4 words in bucket 672
6 words in bucket 673
9 words in bucket 674
11 words in bucket 675
14 words in bucket 676
9 words in bucket 677
3 words in bucket 678
12 words in bucket 679
8 words in bucket 680
6 words in bucket 681
11 words in bucket 682
8 words in bucket 683
11 words in bucket 684
12 words in bucket 685
9 words in bucket 686
6 words in bucket 687
11 words in bucket 688
2 words in bucket 689
11 words in bucket 690
1 words in bucket 691
7 words in bucket 692
8 words in bucket 693
6 words in bucket 694
6 words in bucket 695
6 words in bucket 696
8 words in bucket 697
8 words in bucket 698
6 words in bucket 699
2 words in bucket 700
9 words in bucket 701
6 words in bucket 702
11 words in bucket 703
5 words in bucket 704
5 words in bucket 705
1 words in bucket 706
5 words in bucket 707
7 words in bucket 708
9 words in bucket 709
8 words in bucket 710
3 words in bucket 711
5 words in bucket 712
8 words in bucket 713
4 words in bucket 714
5 words in bucket 715
7 words in bucket 716
14 words in bucket 717
7 words in bucket 718
9 words in bucket 719
6 words in bucket 720
10 words in bucket 721
10 words in bucket 722
10 words in bucket 723
12 words in bucket 724
9 words in bucket 725
9 words in bucket 726
8 words in bucket 727
1 words in bucket 728
11 words in bucket 729
7 words in bucket 730
8 words in bucket 731
3 words in bucket 732
10 words in bucket 733
3 words in bucket 734
9 words in bucket 735
6 words in bucket 736
2 words in bucket 737
10 words in bucket 738
7 words in bucket 739
10 words in bucket 740
7 words in bucket 741
6 words in bucket 742
8 words in bucket 743
10 words in bucket 744
6 words in bucket 745
9 words in bucket 746
7 words in bucket 747
7 words in bucket 748
4 words in bucket 749
11 words in bucket 750
8 words in bucket 751
8 words in bucket 752
12 words in bucket 753
7 words in bucket 754
6 words in bucket 755
5 words in bucket 756
3 words in bucket 757
7 words in bucket 758
9 words in bucket 759
8 words in bucket 760
10 words in bucket 761
5 words in bucket 762
5 words in bucket 763
8 words in bucket 764
7 words in bucket 765
8 words in bucket 766
8 words in bucket 767
9 words in bucket 768
6 words in bucket 769
9 words in bucket 770
9 words in bucket 771
5 words in bucket 772
12 words in bucket 773
6 words in bucket 774
7 words in bucket 775
9 words in bucket 776
14 words in bucket 777
6 words in bucket 778
3 words in bucket 779
11 words in bucket 780
11 words in bucket 781
4 words in bucket 782
7 words in bucket 783
8 words in bucket 784
9 words in bucket 785
8 words in bucket 786
5 words in bucket 787
10 words in bucket 788
6 words in bucket 789
6 words in bucket 790
9 words in bucket 791
8 words in bucket 792
12 words in bucket 793
13 words in bucket 794
5 words in bucket 795
8 words in bucket 796
9 words in bucket 797
7 words in bucket 798
8 words in bucket 799
8 words in bucket 800
6 words in bucket 801
6 words in bucket 802
3 words in bucket 803
10 words in bucket 804
2 words in bucket 805
5 words in bucket 806
9 words in bucket 807
5 words in bucket 808
5 words in bucket 809
6 words in bucket 810
6 words in bucket 811
16 words in bucket 812
10 words in bucket 813
4 words in bucket 814
6 words in bucket 815
9 words in bucket 816
7 words in bucket 817
4 words in bucket 818
8 words in bucket 819
9 words in bucket 820
5 words in bucket 821
2 words in bucket 822
3 words in bucket 823
5 words in bucket 824
8 words in bucket 825
9 words in bucket 826
4 words in bucket 827
7 words in bucket 828
8 words in bucket 829
10 words in bucket 830
8 words in bucket 831
5 words in bucket 832
12 words in bucket 833
8 words in bucket 834
7 words in bucket 835
8 words in bucket 836
6 words in bucket 837
6 words in bucket 838
7 words in bucket 839
8 words in bucket 840
6 words in bucket 841
10 words in bucket 842
9 words in bucket 843
5 words in bucket 844
6 words in bucket 845
5 words in bucket 846
8 words in bucket 847
10 words in bucket 848
7 words in bucket 849
13 words in bucket 850
9 words in bucket 851
8 words in bucket 852
3 words in bucket 853
5 words in bucket 854
9 words in bucket 855
7 words in bucket 856
10 words in bucket 857
4 words in bucket 858
7 words in bucket 859
6 words in bucket 860
7 words in bucket 861
5 words in bucket 862
8 words in bucket 863
11 words in bucket 864
3 words in bucket 865
4 words in bucket 866
6 words in bucket 867
9 words in bucket 868
8 words in bucket 869
7 words in bucket 870
9 words in bucket 871
8 words in bucket 872
8 words in bucket 873
11 words in bucket 874
7 words in bucket 875
7 words in bucket 876
10 words in bucket 877
7 words in bucket 878
8 words in bucket 879
12 words in bucket 880
10 words in bucket 881
10 words in bucket 882
5 words in bucket 883
5 words in bucket 884
5 words in bucket 885
6 words in bucket 886
11 words in bucket 887
7 words in bucket 888
10 words in bucket 889
2 words in bucket 890
8 words in bucket 891
8 words in bucket 892
6 words in bucket 893
7 words in bucket 894
4 words in bucket 895
8 words in bucket 896
8 words in bucket 897
6 words in bucket 898
5 words in bucket 899
12 words in bucket 900
6 words in bucket 901
3 words in bucket 902
7 words in bucket 903
4 words in bucket 904
9 words in bucket 905
9 words in bucket 906
3 words in bucket 907
4 words in bucket 908
3 words in bucket 909
11 words in bucket 910
7 words in bucket 911
3 words in bucket 912
8 words in bucket 913
8 words in bucket 914
5 words in bucket 915
7 words in bucket 916
6 words in bucket 917
5 words in bucket 918
6 words in bucket 919
9 words in bucket 920
5 words in bucket 921
11 words in bucket 922
5 words in bucket 923
5 words in bucket 924
3 words in bucket 925
7 words in bucket 926
9 words in bucket 927
6 words in bucket 928
6 words in bucket 929
8 words in bucket 930
10 words in bucket 931
5 words in bucket 932
9 words in bucket 933
8 words in bucket 934
8 words in bucket 935
8 words in bucket 936
7 words in bucket 937
8 words in bucket 938
6 words in bucket 939
5 words in bucket 940
6 words in bucket 941
4 words in bucket 942
6 words in bucket 943
6 words in bucket 944
5 words in bucket 945
9 words in bucket 946
5 words in bucket 947
12 words in bucket 948
13 words in bucket 949
7 words in bucket 950
10 words in bucket 951
6 words in bucket 952
9 words in bucket 953
6 words in bucket 954
8 words in bucket 955
8 words in bucket 956
8 words in bucket 957
8 words in bucket 958
5 words in bucket 959
10 words in bucket 960
3 words in bucket 961
4 words in bucket 962
9 words in bucket 963
9 words in bucket 964
9 words in bucket 965
7 words in bucket 966
5 words in bucket 967
4 words in bucket 968
6 words in bucket 969
13 words in bucket 970
9 words in bucket 971
10 words in bucket 972
12 words in bucket 973
7 words in bucket 974
10 words in bucket 975
8 words in bucket 976
11 words in bucket 977
4 words in bucket 978
6 words in bucket 979
8 words in bucket 980
13 words in bucket 981
6 words in bucket 982
4 words in bucket 983
5 words in bucket 984
6 words in bucket 985
9 words in bucket 986
11 words in bucket 987
10 words in bucket 988
8 words in bucket 989
8 words in bucket 990
3 words in bucket 991
10 words in bucket 992
6 words in bucket 993
14 words in bucket 994
11 words in bucket 995
9 words in bucket 996
3 words in bucket 997
7 words in bucket 998
7 words in bucket 999
9 words in bucket 1000
5 words in bucket 1001
9 words in bucket 1002
8 words in bucket 1003
8 words in bucket 1004
5 words in bucket 1005
8 words in bucket 1006
11 words in bucket 1007
8 words in bucket 1008
3 words in bucket 1009
13 words in bucket 1010
9 words in bucket 1011
11 words in bucket 1012
9 words in bucket 1013
